experiment,activation,seeds,num_seeds,metric,min_gamma,min_value,max_gamma,max_value,abs_range,rel_range_pct,largest_adjacent_gamma_pair,largest_adjacent_delta,gamma_values
discontinuous_gradient,gaussian,"42,43,44,45,46",5,far_grad,1.0,0.03141714536649776,10.0,0.04073059301899782,0.009313447652500056,29.644474518145174,1->10,0.009313447652500056,0:0.0361291; 0.01:0.0380568; 0.1:0.0380661; 1:0.0314171; 10:0.0407306
discontinuous_gradient,gaussian,"42,43,44,45,46",5,near_far_ratio,10.0,6.622802156600706,1.0,8.371445103789014,1.7486429471883085,26.40336984014387,1->10,1.7486429471883085,0:7.54919; 0.01:7.03693; 0.1:6.94676; 1:8.37145; 10:6.6228
discontinuous_gradient,gaussian,"42,43,44,45,46",5,neurons,0.01,90.4,0.1,94.2,3.799999999999997,4.203539823008846,0.01->0.1,3.799999999999997,0:93; 0.01:90.4; 0.1:94.2; 1:94; 10:93
discontinuous_gradient,gaussian,"42,43,44,45,46",5,near_score,0.01,23.50022905300996,0.0,24.67629882195788,1.1760697689479187,5.004503429711401,0->0.01,1.1760697689479187,0:24.6763; 0.01:23.5002; 0.1:24.2313; 1:23.9856; 10:24.659
discontinuous_gradient,gaussian,"42,43,44,45,46",5,eval_h1,1.0,0.07270678008956392,10.0,0.07732145601693982,0.004614675927375897,6.346967809179974,1->10,0.004614675927375897,0:0.0762447; 0.01:0.0750359; 0.1:0.0742468; 1:0.0727068; 10:0.0773215
discontinuous_gradient,gelu_b0_2,"42,43,44,45,46",5,near_grad,0.01,0.3199491130915182,0.0,0.38064539855604285,0.06069628546452466,18.970605943565502,0->0.01,0.06069628546452466,0:0.380645; 0.01:0.319949; 0.1:0.341405; 1:0.349899; 10:0.336623
discontinuous_gradient,gelu_b0_2,"42,43,44,45,46",5,far_grad,0.01,0.05877979830873521,0.0,0.1380555247629691,0.07927572645423388,134.86900046482938,0->0.01,0.07927572645423388,0:0.138056; 0.01:0.0587798; 0.1:0.0811524; 1:0.0843423; 10:0.0679272
discontinuous_gradient,gelu_b0_2,"42,43,44,45,46",5,near_far_ratio,0.0,3.2529043998172615,0.01,6.11305535131085,2.8601509514935883,87.92606852062,0->0.01,2.8601509514935883,0:3.2529; 0.01:6.11306; 0.1:5.20676; 1:4.97914; 10:5.36062
discontinuous_gradient,gelu_b0_2,"42,43,44,45,46",5,neurons,0.0,26.2,0.01,47.8,21.599999999999998,82.44274809160305,0->0.01,21.599999999999998,0:26.2; 0.01:47.8; 0.1:40.4; 1:44; 10:43.2
discontinuous_gradient,gelu_b0_2,"42,43,44,45,46",5,near_score,0.0,9.859043431184158,0.01,15.150814695064751,5.291771263880593,53.6742869713173,0->0.01,5.291771263880593,0:9.85904; 0.01:15.1508; 0.1:13.2328; 1:14.857; 10:14.3616
discontinuous_gradient,gelu_b0_2,"42,43,44,45,46",5,eval_h1,0.01,0.09913081385027656,0.0,0.1443255958956869,0.04519478204541033,45.591053165033856,0->0.01,0.04519478204541033,0:0.144326; 0.01:0.0991308; 0.1:0.112642; 1:0.115485; 10:0.105779
discontinuous_gradient,gelu_b0_25,"42,43,44,45,46",5,near_grad,0.1,0.4084918289734968,0.01,0.4194780786889866,0.010986249715489838,2.6894662111350662,0.01->0.1,0.010986249715489838,0:0.416997; 0.01:0.419478; 0.1:0.408492; 1:0.415447; 10:0.413628
discontinuous_gradient,gelu_b0_25,"42,43,44,45,46",5,far_grad,10.0,0.14045522054991805,0.0,0.17124541514292324,0.030790194593005193,21.921716026256426,0.01->0.1,0.02060172950654582,0:0.171245; 0.01:0.170278; 0.1:0.149676; 1:0.15237; 10:0.140455
